album_popularity,album_id,energy,analysis_url,speechiness,duration,id,title,track_popularity,track_id,acousticness,track_href,artist_id,artist_popularity,danceability,album_release_date,tempo,number,instrumentalness,key,duration_ms,album_name,now_release_date,artist,type,liveness,uri,volume_number,mode,time_signature,loudness,valence
59,3sHGkl7UfE9JGDLv5sC7H5,0.497,https://api.spotify.com/v1/audio-analysis/1XMjzq2p5v4CSWf8v6Diuh,0.0356,184,1XMjzq2p5v4CSWf8v6Diuh,On My Mind,44,1XMjzq2p5v4CSWf8v6Diuh,0.512,https://api.spotify.com/v1/tracks/1XMjzq2p5v4CSWf8v6Diuh,1BhWF9W2PngtPSyobKg0rP,69,0.723,2014-01-01,130.02,21.,0.000256,2,184813,The Gift,"May 6, 2014 ",Pia Mia,audio_features,0.121,spotify:track:1XMjzq2p5v4CSWf8v6Diuh,50,1,4,-6.866,0.579
68,5maeycU97NHBgwRr2h2A4O,0.817,https://api.spotify.com/v1/audio-analysis/6r2BECwMgEoRb5yLfp0Hca,0.157,259,6r2BECwMgEoRb5yLfp0Hca,Born This Way,60,6r2BECwMgEoRb5yLfp0Hca,0.0049,https://api.spotify.com/v1/tracks/6r2BECwMgEoRb5yLfp0Hca,1HY2Jd0NmPuamShAr6KMms,86,0.59,2011-01-01,123.895,1.,0,11,260253,Born This Way (Special Edition),"May 3, 2011",Lady Gaga,audio_features,0.283,spotify:track:6r2BECwMgEoRb5yLfp0Hca,38,1,4,-5.069,0.495
52,1v6AabKgH3ksaZMWrEhiOD,0.87,https://api.spotify.com/v1/audio-analysis/3rDFqo8yv93PtTmdOYOPzX,0.0452,229,3rDFqo8yv93PtTmdOYOPzX,Tonight (I'm Fuckin' You),52,3rDFqo8yv93PtTmdOYOPzX,0.0283,https://api.spotify.com/v1/tracks/3rDFqo8yv93PtTmdOYOPzX,7qG3b048QCHVRO5Pv1T5lw,83,0.674,2010-11-22,125.943,2.,6.3e-06,5,231653,Tonight (I'm Fuckin' You),"May 3, 2011",Enrique Iglesias,audio_features,0.145,spotify:track:3rDFqo8yv93PtTmdOYOPzX,38,0,4,-4.688,0.253
66,35dJsQDEr549O5DTFUy3uM,0.673,https://api.spotify.com/v1/audio-analysis/2u02eLj96Atd6TBxkH9YvN,0.0437,241,2u02eLj96Atd6TBxkH9YvN,S&M,61,2u02eLj96Atd6TBxkH9YvN,0.0156,https://api.spotify.com/v1/tracks/2u02eLj96Atd6TBxkH9YvN,5pKCCKE2ajJHZ9KAiaK11H,94,0.764,2010-11-15,127.941,3.,6.56e-05,1,243533,Loud,"May 3, 2011",Rihanna,audio_features,0.195,spotify:track:2u02eLj96Atd6TBxkH9YvN,38,1,4,-4.946,0.811
70,0oFBaXLFsUVa2gEmJf4FcJ,0.722,https://api.spotify.com/v1/audio-analysis/7Dyq1bhhjknLKEGg4k5NLr,0.0427,226,7Dyq1bhhjknLKEGg4k5NLr,Hold It Against Me,55,7Dyq1bhhjknLKEGg4k5NLr,0.0103,https://api.spotify.com/v1/tracks/7Dyq1bhhjknLKEGg4k5NLr,26dSoYclwsYLMAKD3tpOr4,81,0.648,2011-03-25,132.973,4.,0,0,228827,Femme Fatale (Deluxe Version),"May 3, 2011",Britney Spears,audio_features,0.24,spotify:track:7Dyq1bhhjknLKEGg4k5NLr,38,0,4,-4.813,0.389
68,3GhnFolMJn8Ua8KieFZSBQ,0.73,https://api.spotify.com/v1/audio-analysis/5FQazQxWUHsJ8QDaXLdFzR,0.0412,218,5FQazQxWUHsJ8QDaXLdFzR,Blow,58,5FQazQxWUHsJ8QDaXLdFzR,0.00272,https://api.spotify.com/v1/tracks/5FQazQxWUHsJ8QDaXLdFzR,6LqNN22kT3074XbTVUrhzX,76,0.752,2010-11-19,120.032,5.,3.62e-05,11,218825,Cannibal,"May 3, 2011",Kesha,audio_features,0.175,spotify:track:5FQazQxWUHsJ8QDaXLdFzR,38,0,4,-3.897,0.768
82,1uyf3l2d4XYwiEqAb7t7fX,0.558,https://api.spotify.com/v1/audio-analysis/2tJulUYLDKOg9XrtVkMgcJ,0.0593,218,2tJulUYLDKOg9XrtVkMgcJ,Grenade,69,2tJulUYLDKOg9XrtVkMgcJ,0.146,https://api.spotify.com/v1/tracks/2tJulUYLDKOg9XrtVkMgcJ,0du5cEVh5yTK9QJze8zA0C,93,0.706,2010-10-05,110.443,6.,0,2,223253,Doo-Wops & Hooligans,"May 3, 2011",Bruno Mars,audio_features,0.118,spotify:track:2tJulUYLDKOg9XrtVkMgcJ,38,0,4,-7.237,0.22
85,5BvgP623rtvlc0HDcpzquz,0.872,https://api.spotify.com/v1/audio-analysis/4z8ssgZfs5TzKiO8HaGWXO,0.0792,228,4z8ssgZfs5TzKiO8HaGWXO,E.T.,65,4z8ssgZfs5TzKiO8HaGWXO,0.0213,https://api.spotify.com/v1/tracks/4z8ssgZfs5TzKiO8HaGWXO,6jJ0s89eD6GaHleKKya26X,83,0.603,2012-03-12,150.104,7.,0,5,206373,Katy Perry - Teenage Dream: The Complete Confection,"May 3, 2011",Katy Perry,audio_features,0.366,spotify:track:4z8ssgZfs5TzKiO8HaGWXO,38,0,4,-5.404,0.691
,,,,,210,,F**kin' Perfect,,37Veo3TsREFZKvfZ0CaI4S,,,,,,,,8.,,,,,"May 3, 2011",Pink,,,,38,,,,
60,2psjRixnoePs8ZqE8cuU5Z,0.822,https://api.spotify.com/v1/audio-analysis/6Iocm6VMu6bVNYwiDoyQFW,0.232,238,6Iocm6VMu6bVNYwiDoyQFW,Coming Home,58,6Iocm6VMu6bVNYwiDoyQFW,0.155,https://api.spotify.com/v1/tracks/6Iocm6VMu6bVNYwiDoyQFW,2QYEvpsWUOjqaYuxDPTCmV,59,0.353,2010-12-14,167.905,9.,0,7,238693,Last Train To Paris,"May 3, 2011",Diddy - Dirty Money,audio_features,0.332,spotify:track:6Iocm6VMu6bVNYwiDoyQFW,38,1,4,-1.866,0.235
