album_popularity,album_id,energy,analysis_url,speechiness,id,title,track_popularity,track_id,acousticness,danceability,artist_id,artist_popularity,track_href,album_release_date,tempo,instrumentalness,key,duration_ms,album_name,artist,type,liveness,uri,mode,time_signature,loudness,valence
69,1jwMRIAKCBeroo1jYV19tO,0.664,https://api.spotify.com/v1/audio-analysis/2CpH1L4CUR47RARB3PgY1l,0.102,2CpH1L4CUR47RARB3PgY1l,You Don't Own Me,69,2CpH1L4CUR47RARB3PgY1l,0.166,0.336,6y5amJcTjeDgLXIjtQLMst,70,https://api.spotify.com/v1/tracks/2CpH1L4CUR47RARB3PgY1l,2015-03-17,186.394,1.31e-06,7,199315,You Don't Own Me,Grace,audio_features,0.0575,spotify:track:2CpH1L4CUR47RARB3PgY1l,1,3,-5.68,0.303
39,06tbx4TtPKjzSSThJIaWyE,0.528,https://api.spotify.com/v1/audio-analysis/2hvTiczp42jKh5YlM8KJD4,0.0503,2hvTiczp42jKh5YlM8KJD4,PPAP(Pen-Pineapple-Apple-Pen),39,2hvTiczp42jKh5YlM8KJD4,0.043,0.863,37GBT1Lhfc2sgq4jZIt6n2,47,https://api.spotify.com/v1/tracks/2hvTiczp42jKh5YlM8KJD4,2016-10-08,136.114,0.00884,10,45000,PPAP(Pen-Pineapple-Apple-Pen),PIKOTARO,audio_features,0.0666,spotify:track:2hvTiczp42jKh5YlM8KJD4,0,4,-6.075,0.885
75,4smRLX0wglNhMXGyahWuUf,0.659,https://api.spotify.com/v1/audio-analysis/2wqXQjOmQ9KoBm9Ssgt4Fo,0.0309,2wqXQjOmQ9KoBm9Ssgt4Fo,Peter Pan,66,2wqXQjOmQ9KoBm9Ssgt4Fo,0.0284,0.514,3RqBeV12Tt7A8xH3zBDDUF,68,https://api.spotify.com/v1/tracks/2wqXQjOmQ9KoBm9Ssgt4Fo,2015-05-18,76.483,0,1,200040,The First Time,Kelsea Ballerini,audio_features,0.266,spotify:track:2wqXQjOmQ9KoBm9Ssgt4Fo,1,4,-6.142,0.445
28,7Jr2OocsJHcAt33YB3Les6,0.733,https://api.spotify.com/v1/audio-analysis/4KH2V5CGcMeWFI7AciTmbZ,0.0415,4KH2V5CGcMeWFI7AciTmbZ,Kids,28,4KH2V5CGcMeWFI7AciTmbZ,0.0144,0.599,5Pwc4xIPtQLFEnJriah9YJ,84,https://api.spotify.com/v1/tracks/4KH2V5CGcMeWFI7AciTmbZ,2016-08-12,100.0,0,2,240147,Kids,OneRepublic,audio_features,0.347,spotify:track:4KH2V5CGcMeWFI7AciTmbZ,1,4,-6.072,0.215
59,6RPWwFQWwVE9qnj01Qy3fk,0.698,https://api.spotify.com/v1/audio-analysis/3WWVDPjihd1VITBLF10nha,0.0399,3WWVDPjihd1VITBLF10nha,Forever Country,59,3WWVDPjihd1VITBLF10nha,0.413,0.2,0KlSW3j5fUEfej47FOrBMr,52,https://api.spotify.com/v1/tracks/3WWVDPjihd1VITBLF10nha,2016-09-16,89.998,1.69e-05,7,242480,Forever Country,"Artists Of Then, Now & Forever",audio_features,0.0925,spotify:track:3WWVDPjihd1VITBLF10nha,1,4,-5.873,0.144
81,3Yko2SxDk4hc6fncIBQlcM,0.615,https://api.spotify.com/v1/audio-analysis/48EjSdYh8wz2gBxxqzrsLe,0.045,48EjSdYh8wz2gBxxqzrsLe,Cranes in the Sky,71,48EjSdYh8wz2gBxxqzrsLe,0.408,0.719,2auiVi8sUZo17dLy1HwrTU,74,https://api.spotify.com/v1/tracks/48EjSdYh8wz2gBxxqzrsLe,2016-09-30,96.988,0.000147,6,250973,A Seat at the Table,Solange,audio_features,0.235,spotify:track:48EjSdYh8wz2gBxxqzrsLe,1,4,-5.972,0.488
18,00rLhuzj6YdBUKKnF8f4mo,0.331,https://api.spotify.com/v1/audio-analysis/71SDPonZOsIKNtqnaX8LXj,0.0725,71SDPonZOsIKNtqnaX8LXj,Low Life,17,71SDPonZOsIKNtqnaX8LXj,0.337,0.722,1RyvyyTE3xzB2ZywiAwp0i,91,https://api.spotify.com/v1/tracks/71SDPonZOsIKNtqnaX8LXj,2016-02-12,143.974,0.283,8,313547,EVOL,Future,audio_features,0.146,spotify:track:71SDPonZOsIKNtqnaX8LXj,1,4,-7.789,0.102
68,1M0vpI6KG4y0RwRuQ8SQxT,0.476,https://api.spotify.com/v1/audio-analysis/5BbYPT6ehZf0hSv2su6JAl,0.032,5BbYPT6ehZf0hSv2su6JAl,Make You Miss Me,52,5BbYPT6ehZf0hSv2su6JAl,0.138,0.606,2kucQ9jQwuD8jWdtR9Ef38,78,https://api.spotify.com/v1/tracks/5BbYPT6ehZf0hSv2su6JAl,2014-10-24,146.052,0,7,225693,Montevallo,Sam Hunt,audio_features,0.112,spotify:track:5BbYPT6ehZf0hSv2su6JAl,1,4,-6.577,0.191
81,3Yko2SxDk4hc6fncIBQlcM,0.411,https://api.spotify.com/v1/audio-analysis/2TyCAfhwu5tRqFW8VnGMIL,0.0557,2TyCAfhwu5tRqFW8VnGMIL,Don't Touch My Hair,65,2TyCAfhwu5tRqFW8VnGMIL,0.409,0.823,2auiVi8sUZo17dLy1HwrTU,74,https://api.spotify.com/v1/tracks/2TyCAfhwu5tRqFW8VnGMIL,2016-09-30,90.997,0.00135,0,257547,A Seat at the Table,Solange,audio_features,0.649,spotify:track:2TyCAfhwu5tRqFW8VnGMIL,1,4,-7.061,0.39
57,14CTbdFLxkwGd7VojOlzJM,0.675,https://api.spotify.com/v1/audio-analysis/2poiceiOgHN4oH0fKwvwNY,0.191,2poiceiOgHN4oH0fKwvwNY,LIFTED,57,2poiceiOgHN4oH0fKwvwNY,0.00162,0.372,0tzSBCPJZmHTdOA3ZV2mN3,58,https://api.spotify.com/v1/tracks/2poiceiOgHN4oH0fKwvwNY,2016-08-19,181.164,0,0,175465,LIFTED,CL,audio_features,0.173,spotify:track:2poiceiOgHN4oH0fKwvwNY,1,4,-4.496,0.285
