,track_id,acousticness,album_popularity,artist_popularity,album_release_date,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,now,speechiness,tempo,track_popularity,valence
19,4tDsERgz1ARU2PzBBxvmLZ,0.000492,31.0,23.0,2016-01-29,0.614,224987.0,0.765,0.0,8.0,0.101,-5.448,0.0,1,0.0449,105.008,23.0,0.87
378,4uCAKqQQYJaIvyzq4sZkaO,0.000907,91.0,100.0,2016-05-13,0.699,255787.0,0.71,0.000783,2.0,0.237,-7.381,1.0,0,0.0437,99.994,59.0,0.0387
105,4uhlD1p3hKRI9PLH8qX0fn,0.458,33.0,86.0,2016-10-06,0.668,205280.0,0.428,0.0,0.0,0.108,-7.889,1.0,0,0.0433,129.75,33.0,0.134
497,4urmOSZcGQVcGz3rpMzy3y,0.0818,77.0,83.0,2015-01-16,0.488,206507.0,0.935,0.0,2.0,0.256,-3.08,1.0,0,0.116,164.971,56.0,0.434
411,4vEWoLU4sXSjdIJGTKKbWB,0.0269,34.0,90.0,2015-11-09,0.543,201647.0,0.649,0.0,9.0,0.0722,-5.558,0.0,0,0.246,92.521,34.0,0.664
370,4wFHfY9IILHLNwakPuFogD,0.283,72.0,89.0,2016-01-13,0.837,197213.0,0.608,0.0,6.0,0.0855,-6.046,0.0,0,0.0381,94.0,72.0,0.598
235,4wRWDQkGCtVoSGGqplJNKB,0.0918,29.0,86.0,2016-10-18,0.662,207733.0,0.898,0.0,7.0,0.0984,-5.707,1.0,0,0.155,149.896,29.0,0.93
840,4xybr92r9x00MfLwQSvRDa,0.11,75.0,93.0,2015-03-16,0.752,300973.0,0.489,3.57e-06,1.0,0.202,-5.233,1.0,0,0.137,108.005,54.0,0.368
568,4zRdmcE23a3LTVBTH1TtlP,0.00199,53.0,88.0,2015-11-20,0.523,273253.0,0.757,0.0,6.0,0.3,-6.772,0.0,0,0.138,134.828,53.0,0.375
263,50R3hdsZQeg3k8zJdVphSZ,0.0752,81.0,94.0,2016-01-28,0.725,219320.0,0.534,0.0,11.0,0.0919,-6.238,1.0,0,0.0946,91.974,59.0,0.543
709,50YDnd2cFqMColEWtd00BA,0.0254,3.0,92.0,2015-07-10,0.776,296613.0,0.882,0.0,4.0,0.176,-5.311,0.0,0,0.129,112.463,3.0,0.079
907,50kpGaPAhYJ3sGmk6vplg0,0.856,87.0,95.0,2015-11-13,0.607,233720.0,0.376,0.0,4.0,0.285,-9.954,1.0,1,0.453,102.541,76.0,0.559
250,51Nwg5wCDDiqcTntgJUlLo,0.00287,66.0,79.0,2016-07-04,0.686,219759.0,0.623,0.00145,1.0,0.219,-3.425,1.0,0,0.13,140.171,66.0,0.166
580,52izjvF7wwveRG1rDJsGWe,0.0026,72.0,83.0,2015-08-07,0.617,218773.0,0.759,0.0,0.0,0.419,-6.785,0.0,0,0.0677,122.925,72.0,0.309
197,52wTKeWYVIAtSESw0haRB1,0.0121,20.0,84.0,2016-06-10,0.524,228027.0,0.505,1.28e-06,11.0,0.225,-8.256,0.0,0,0.275,189.978,20.0,0.3
790,539HpTjkmnhbPn3p7mjByN,0.0508,58.0,94.0,2015-04-14,0.232,320161.0,0.744,0.0,2.0,0.266,-6.227,1.0,0,0.114,78.921,58.0,0.508
766,53b7YqVw2Vc1oRrYeOm7z7,0.012,11.0,76.0,2015-01-12,0.5,198693.0,0.791,0.0,6.0,0.0645,-3.711,1.0,0,0.0505,149.093,11.0,0.465
130,550rQQCGkrTzvp4SfpOPzx,0.454,79.0,79.0,2016-10-21,0.321,268960.0,0.377,0.0,10.0,0.338,-7.385,1.0,0,0.0361,119.483,73.0,0.355
289,55OdqrG8WLmsYyY1jijD9b,0.124,83.0,86.0,2016-08-26,0.863,236293.0,0.576,0.0,5.0,0.143,-5.687,0.0,0,0.239,132.054,78.0,0.839
3,56cswAa9WdFBsjsTyPBAKA,0.223,85.0,85.0,2016-10-14,0.674,239280.0,0.694,0.0,2.0,0.183,-4.739,1.0,0,0.129,137.839,85.0,0.255
570,57EH1IvuQYjfvUQOGTypd4,0.0319,10.0,72.0,2015-05-12,0.573,197307.0,0.85,0.0,10.0,0.081,-3.816,1.0,0,0.0361,127.992,10.0,0.339
111,57IT5XRc5ImuTqxwrFZFdd,0.00303,67.0,89.0,2017-01-13,0.552,226800.0,0.738,3.25e-05,5.0,0.129,-6.956,0.0,0,0.0687,132.054,67.0,0.418
427,57fsodKBjXbxDOQt9k3Ih8,0.112,49.0,87.0,2016-02-05,0.893,176855.0,0.646,0.0,11.0,0.104,-5.073,0.0,0,0.1,132.97,49.0,0.44
722,57hCSu4zMTdnSum7NBL1Ye,0.0168,79.0,81.0,2015-06-29,0.434,318840.0,0.695,0.0,10.0,0.834,-7.464,0.0,0,0.485,167.309,63.0,0.163
187,57qiTKh8bVX0VtfUNTQqhw,0.0677,99.0,98.0,2016-11-25,0.652,198653.0,0.637,0.0,1.0,0.0996,-8.094,1.0,0,0.0593,110.08,72.0,0.176
